id,pos_x,pos_y,pos_z,lora_network_addr,ble_network_addr,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption,cnt_leader,lora_send,lora_receive,ble_send,ble_receive
32,34.997,136.968,1,1896,00:21,320.000000,600.000000,0.027350,0.018350,0.009000,1,1,1,9,6
31,34.997558,136.968301,1.000000,1895,00:20,310.000000,600.000000,0.024380,0.015380,0.009000,1,1,1,10,5
30,34.997258,136.968301,1.000000,1894,00:1f,300.000000,600.000000,0.041184,0.032184,0.009000,2,2,2,6,9
29,34.995360,136.966875,1.000000,1893,00:1e,290.000000,600.000000,0.027202,0.018202,0.009000,1,1,1,9,6
28,34.995960,136.966875,1.000000,1892,00:1d,280.000000,600.000000,0.024232,0.015232,0.009000,1,1,1,10,5
27,34.995660,136.966875,1.000000,1891,00:1c,270.000000,600.000000,0.041036,0.032036,0.009000,2,2,2,6,9
26,34.990529,136.968657,1.000000,1890,00:1b,260.000000,600.000000,0.049805,0.049805,0.000000,0,6,6,0,0
25,34.993019,136.970236,1.000000,1889,00:1a,250.000000,600.000000,0.027004,0.018004,0.009000,1,1,1,9,6
24,34.993619,136.970236,1.000000,1888,00:19,240.000000,600.000000,0.024034,0.015034,0.009000,1,1,1,10,5
23,34.993319,136.970236,1.000000,1887,00:18,230.000000,600.000000,0.040838,0.031838,0.009000,2,2,2,6,9
22,34.992696,136.966654,1.000000,1886,00:17,220.000000,600.000000,0.026855,0.017855,0.009000,1,1,1,9,6
21,34.993296,136.966654,1.000000,1885,00:16,210.000000,600.000000,0.040640,0.031640,0.009000,2,2,2,6,9
20,34.992996,136.966654,1.000000,1884,00:15,200.000000,600.000000,0.020915,0.011915,0.009000,1,1,1,10,5
19,34.990931,136.966164,1.000000,1883,00:14,190.000000,600.000000,0.026707,0.017707,0.009000,1,1,1,9,6
18,34.991531,136.966164,1.000000,1882,00:13,180.000000,600.000000,0.023737,0.014737,0.009000,1,1,1,10,5
17,34.991231,136.966164,1.000000,1881,00:12,170.000000,600.000000,0.040541,0.031541,0.009000,2,2,2,6,9
16,34.991376,136.967828,1.000000,1880,00:11,160.000000,600.000000,0.026558,0.017558,0.009000,1,1,1,9,6
5,34.997334,136.967603,1.000000,1869,00:06,50.000000,600.000000,0.026014,0.017014,0.009000,1,1,1,9,6
4,34.997934,136.967603,1.000000,1868,00:05,40.000000,600.000000,0.023044,0.014044,0.009000,1,1,1,10,5
3,34.997634,136.967603,1.000000,1867,00:04,30.000000,600.000000,0.039848,0.030848,0.009000,2,2,2,6,9
2,34.994444,136.971769,1.000000,1866,00:03,20.000000,600.000000,0.025865,0.016865,0.009000,1,1,1,9,6
0,34.994744,136.971769,1.000000,1864,00:01,0.000000,600.000000,0.039699,0.030699,0.009000,2,2,2,6,9
1,34.995044,136.971769,1.000000,1865,00:02,10.000000,600.000000,0.022895,0.013895,0.009000,1,1,1,10,5
6,34.994912,136.967521,1.000000,1870,00:07,60.000000,600.000000,0.039996,0.030996,0.009000,2,2,2,6,9
7,34.995212,136.967521,1.000000,1871,00:08,70.000000,600.000000,0.023192,0.014192,0.009000,1,1,1,10,5
8,34.994612,136.967521,1.000000,1872,00:09,80.000000,600.000000,0.026162,0.017162,0.009000,1,1,1,9,6
9,34.994942,136.966953,1.000000,1873,00:0a,90.000000,600.000000,0.048963,0.048963,0.000000,0,6,6,0,0
10,34.994315,136.965640,1.000000,1874,00:0b,100.000000,600.000000,0.049013,0.049013,0.000000,0,6,6,0,0
11,34.993194,136.965682,1.000000,1875,00:0c,110.000000,600.000000,0.040244,0.031244,0.009000,2,2,2,6,9
12,34.993494,136.965682,1.000000,1876,00:0d,120.000000,600.000000,0.023440,0.014440,0.009000,1,1,1,10,5
13,34.992894,136.965682,1.000000,1877,00:0e,130.000000,600.000000,0.026410,0.017410,0.009000,1,1,1,9,6
14,34.991676,136.967828,1.000000,1878,00:0f,140.000000,600.000000,0.040392,0.031392,0.009000,2,2,2,6,9
15,34.991976,136.967828,1.000000,1879,00:10,150.000000,600.000000,0.023588,0.014588,0.009000,1,1,1,10,5
