id,pos_x,pos_y,pos_z,lora_network_addr,ble_network_addr,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption,cnt_leader,lora_send,lora_receive,ble_send,ble_receive
32,34.997,136.968,1,1896,00:21,320.000000,600.000000,0.035150,0.018350,0.016800,1,1,1,21,7
31,34.997558,136.968301,1.000000,1895,00:20,310.000000,600.000000,0.075299,0.057899,0.017400,3,3,3,16,13
30,34.997258,136.968301,1.000000,1894,00:1f,300.000000,600.000000,0.076560,0.057360,0.019200,4,4,4,17,15
29,34.995360,136.966875,1.000000,1893,00:1e,290.000000,600.000000,0.067856,0.049856,0.018000,2,2,2,18,12
28,34.995960,136.966875,1.000000,1892,00:1d,280.000000,600.000000,0.085952,0.063152,0.022800,4,4,4,21,17
27,34.995660,136.966875,1.000000,1891,00:1c,270.000000,600.000000,0.077012,0.057212,0.019800,4,4,4,18,15
26,34.990529,136.968657,1.000000,1890,00:1b,260.000000,600.000000,0.100798,0.100798,0.000000,0,12,12,0,0
25,34.993019,136.970236,1.000000,1889,00:1a,250.000000,600.000000,0.034804,0.018004,0.016800,1,1,1,21,7
24,34.993619,136.970236,1.000000,1888,00:19,240.000000,600.000000,0.074952,0.057552,0.017400,3,3,3,16,13
23,34.993319,136.970236,1.000000,1887,00:18,230.000000,600.000000,0.076214,0.057014,0.019200,4,4,4,17,15
22,34.992696,136.966654,1.000000,1886,00:17,220.000000,600.000000,0.089775,0.065775,0.024000,4,4,4,21,19
21,34.993296,136.966654,1.000000,1885,00:16,210.000000,600.000000,0.079016,0.056816,0.022200,4,4,4,19,18
20,34.992996,136.966654,1.000000,1884,00:15,200.000000,600.000000,0.083285,0.059885,0.023400,4,4,4,23,16
19,34.990931,136.966164,1.000000,1883,00:14,190.000000,600.000000,0.034507,0.017707,0.016800,1,1,1,21,7
18,34.991531,136.966164,1.000000,1882,00:13,180.000000,600.000000,0.074655,0.057255,0.017400,3,3,3,16,13
17,34.991231,136.966164,1.000000,1881,00:12,170.000000,600.000000,0.075917,0.056717,0.019200,4,4,4,17,15
16,34.991376,136.967828,1.000000,1880,00:11,160.000000,600.000000,0.067212,0.049212,0.018000,2,2,2,18,12
5,34.997334,136.967603,1.000000,1869,00:06,50.000000,600.000000,0.033814,0.017014,0.016800,1,1,1,21,7
4,34.997934,136.967603,1.000000,1868,00:05,40.000000,600.000000,0.073962,0.056562,0.017400,3,3,3,16,13
3,34.997634,136.967603,1.000000,1867,00:04,30.000000,600.000000,0.075224,0.056024,0.019200,4,4,4,17,15
2,34.994444,136.971769,1.000000,1866,00:03,20.000000,600.000000,0.065919,0.048519,0.017400,2,2,2,18,11
0,34.994744,136.971769,1.000000,1864,00:01,0.000000,600.000000,0.075675,0.055875,0.019800,4,4,4,18,15
1,34.995044,136.971769,1.000000,1865,00:02,10.000000,600.000000,0.084615,0.061815,0.022800,4,4,4,21,17
6,34.994912,136.967521,1.000000,1870,00:07,60.000000,600.000000,0.075372,0.056172,0.019200,4,4,4,17,15
7,34.995212,136.967521,1.000000,1871,00:08,70.000000,600.000000,0.074111,0.056711,0.017400,3,3,3,16,13
8,34.994612,136.967521,1.000000,1872,00:09,80.000000,600.000000,0.033962,0.017162,0.016800,1,1,1,21,7
9,34.994942,136.966953,1.000000,1873,00:0a,90.000000,600.000000,0.099956,0.099956,0.000000,0,12,12,0,0
10,34.994315,136.965640,1.000000,1874,00:0b,100.000000,600.000000,0.100006,0.100006,0.000000,0,12,12,0,0
11,34.993194,136.965682,1.000000,1875,00:0c,110.000000,600.000000,0.075620,0.056420,0.019200,4,4,4,17,15
12,34.993494,136.965682,1.000000,1876,00:0d,120.000000,600.000000,0.074358,0.056958,0.017400,3,3,3,16,13
13,34.992894,136.965682,1.000000,1877,00:0e,130.000000,600.000000,0.034210,0.017410,0.016800,1,1,1,21,7
14,34.991676,136.967828,1.000000,1878,00:0f,140.000000,600.000000,0.076368,0.056568,0.019800,4,4,4,18,15
15,34.991976,136.967828,1.000000,1879,00:10,150.000000,600.000000,0.085308,0.062508,0.022800,4,4,4,21,17
