id,pos_x,pos_y,pos_z,lora_network_addr,ble_network_addr,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption,cnt_leader,lora_send,lora_receive,ble_send,ble_receive
32,34.997,136.968,1,1896,00:21,320.000000,600.000000,0.198811,0.141811,0.057000,10,10,9,53,42
31,34.997558,136.968301,1.000000,1895,00:20,310.000000,600.000000,0.196460,0.141860,0.054600,11,11,9,50,41
30,34.997258,136.968301,1.000000,1894,00:1f,300.000000,600.000000,0.200735,0.146735,0.054000,10,10,10,51,39
29,34.995360,136.966875,1.000000,1893,00:1e,290.000000,600.000000,0.187217,0.133817,0.053400,10,10,7,50,39
28,34.995960,136.966875,1.000000,1892,00:1d,280.000000,600.000000,0.165643,0.114043,0.051600,7,7,7,54,32
27,34.995660,136.966875,1.000000,1891,00:1c,270.000000,600.000000,0.193941,0.138741,0.055200,10,10,8,52,40
26,34.990529,136.968657,1.000000,1890,00:1b,260.000000,600.000000,0.202784,0.202784,0.000000,0,24,24,0,0
25,34.993019,136.970236,1.000000,1889,00:1a,250.000000,600.000000,0.161072,0.108872,0.052200,7,7,6,54,33
24,34.993619,136.970236,1.000000,1888,00:19,240.000000,600.000000,0.190774,0.135574,0.055200,10,10,9,51,41
23,34.993319,136.970236,1.000000,1887,00:18,230.000000,600.000000,0.199808,0.149408,0.050400,10,10,10,46,38
22,34.992696,136.966654,1.000000,1886,00:17,220.000000,600.000000,0.161603,0.105803,0.055800,7,7,6,58,35
21,34.993296,136.966654,1.000000,1885,00:16,210.000000,600.000000,0.225281,0.164081,0.061200,13,13,13,55,47
20,34.992996,136.966654,1.000000,1884,00:15,200.000000,600.000000,0.208059,0.149259,0.058800,10,10,10,56,42
19,34.990931,136.966164,1.000000,1883,00:14,190.000000,600.000000,0.172779,0.125379,0.047400,7,7,7,49,30
18,34.991531,136.966164,1.000000,1882,00:13,180.000000,600.000000,0.161518,0.116518,0.045000,7,7,7,47,28
17,34.991231,136.966164,1.000000,1881,00:12,170.000000,600.000000,0.192866,0.141266,0.051600,9,9,9,50,36
16,34.991376,136.967828,1.000000,1880,00:11,160.000000,600.000000,0.186574,0.133174,0.053400,10,10,7,50,39
5,34.997334,136.967603,1.000000,1869,00:06,50.000000,600.000000,0.118244,0.073844,0.044400,4,4,4,53,21
4,34.997934,136.967603,1.000000,1868,00:05,40.000000,600.000000,0.184924,0.140524,0.044400,9,9,9,40,34
3,34.997634,136.967603,1.000000,1867,00:04,30.000000,600.000000,0.194678,0.142478,0.052200,10,10,10,49,38
2,34.994444,136.971769,1.000000,1866,00:03,20.000000,600.000000,0.183481,0.132481,0.051000,10,10,8,46,39
0,34.994744,136.971769,1.000000,1864,00:01,0.000000,600.000000,0.187141,0.126541,0.060600,10,10,8,57,44
1,34.995044,136.971769,1.000000,1865,00:02,10.000000,600.000000,0.161337,0.109737,0.051600,7,7,7,55,31
6,34.994912,136.967521,1.000000,1870,00:07,60.000000,600.000000,0.218404,0.164404,0.054000,13,13,12,43,47
7,34.995212,136.967521,1.000000,1871,00:08,70.000000,600.000000,0.161034,0.110034,0.051000,7,7,6,54,31
8,34.994612,136.967521,1.000000,1872,00:09,80.000000,600.000000,0.157725,0.106125,0.051600,7,7,5,54,32
9,34.994942,136.966953,1.000000,1873,00:0a,90.000000,600.000000,0.201942,0.201942,0.000000,0,24,24,0,0
10,34.994315,136.965640,1.000000,1874,00:0b,100.000000,600.000000,0.201992,0.201992,0.000000,0,24,24,0,0
11,34.993194,136.965682,1.000000,1875,00:0c,110.000000,600.000000,0.192569,0.140969,0.051600,9,9,9,50,36
12,34.993494,136.965682,1.000000,1876,00:0d,120.000000,600.000000,0.161221,0.116221,0.045000,7,7,7,47,28
13,34.992894,136.965682,1.000000,1877,00:0e,130.000000,600.000000,0.172482,0.125082,0.047400,7,7,7,49,30
14,34.991676,136.967828,1.000000,1878,00:0f,140.000000,600.000000,0.193298,0.138098,0.055200,10,10,9,52,40
15,34.991976,136.967828,1.000000,1879,00:10,150.000000,600.000000,0.165000,0.113400,0.051600,7,7,7,54,32
