id,pos_x,pos_y,pos_z,lora_network_addr,ble_network_addr,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption,cnt_leader,lora_send,lora_receive,ble_send,ble_receive
32,34.997,136.968,1,1896,00:21,320.000000,600.000000,0.108180,0.075180,0.033000,4,4,4,35,20
31,34.997558,136.968301,1.000000,1895,00:20,310.000000,600.000000,0.099290,0.069290,0.030000,4,4,4,32,18
30,34.997258,136.968301,1.000000,1894,00:1f,300.000000,600.000000,0.140652,0.108252,0.032400,7,7,7,28,26
29,34.995360,136.966875,1.000000,1893,00:1e,290.000000,600.000000,0.103862,0.072062,0.031800,4,4,4,34,19
28,34.995960,136.966875,1.000000,1892,00:1d,280.000000,600.000000,0.127715,0.092315,0.035400,5,5,5,36,23
27,34.995660,136.966875,1.000000,1891,00:1c,270.000000,600.000000,0.138733,0.105133,0.033600,7,7,7,30,26
26,34.990529,136.968657,1.000000,1890,00:1b,260.000000,600.000000,0.151791,0.151791,0.000000,0,18,18,0,0
25,34.993019,136.970236,1.000000,1889,00:1a,250.000000,600.000000,0.107834,0.074834,0.033000,4,4,4,35,20
24,34.993619,136.970236,1.000000,1888,00:19,240.000000,600.000000,0.098943,0.068943,0.030000,4,4,4,32,18
23,34.993319,136.970236,1.000000,1887,00:18,230.000000,600.000000,0.140305,0.107905,0.032400,7,7,7,28,26
22,34.992696,136.966654,1.000000,1886,00:17,220.000000,600.000000,0.101775,0.065775,0.036000,4,4,4,39,21
21,34.993296,136.966654,1.000000,1885,00:16,210.000000,600.000000,0.160145,0.123545,0.036600,9,9,9,28,33
20,34.992996,136.966654,1.000000,1884,00:15,200.000000,600.000000,0.143817,0.101817,0.042000,7,7,7,41,29
19,34.990931,136.966164,1.000000,1883,00:14,190.000000,600.000000,0.108137,0.074537,0.033600,4,4,4,36,20
18,34.991531,136.966164,1.000000,1882,00:13,180.000000,600.000000,0.099246,0.068646,0.030600,4,4,4,32,19
17,34.991231,136.966164,1.000000,1881,00:12,170.000000,600.000000,0.141208,0.107608,0.033600,7,7,7,29,27
16,34.991376,136.967828,1.000000,1880,00:11,160.000000,600.000000,0.103218,0.071418,0.031800,4,4,4,34,19
5,34.997334,136.967603,1.000000,1869,00:06,50.000000,600.000000,0.106244,0.073844,0.032400,4,4,4,35,19
4,34.997934,136.967603,1.000000,1868,00:05,40.000000,600.000000,0.097353,0.067953,0.029400,4,4,4,32,17
3,34.997634,136.967603,1.000000,1867,00:04,30.000000,600.000000,0.139315,0.106915,0.032400,7,7,7,28,26
2,34.994444,136.971769,1.000000,1866,00:03,20.000000,600.000000,0.101325,0.070725,0.030600,4,4,4,33,18
0,34.994744,136.971769,1.000000,1864,00:01,0.000000,600.000000,0.130133,0.092933,0.037200,7,7,6,34,28
1,34.995044,136.971769,1.000000,1865,00:02,10.000000,600.000000,0.134273,0.098873,0.035400,6,6,6,33,26
6,34.994912,136.967521,1.000000,1870,00:07,60.000000,600.000000,0.140664,0.107064,0.033600,7,7,7,30,26
7,34.995212,136.967521,1.000000,1871,00:08,70.000000,600.000000,0.123076,0.091276,0.031800,5,5,4,31,22
8,34.994612,136.967521,1.000000,1872,00:09,80.000000,600.000000,0.107592,0.073992,0.033600,4,4,4,36,20
9,34.994942,136.966953,1.000000,1873,00:0a,90.000000,600.000000,0.150949,0.150949,0.000000,0,18,18,0,0
10,34.994315,136.965640,1.000000,1874,00:0b,100.000000,600.000000,0.150999,0.150999,0.000000,0,18,18,0,0
11,34.993194,136.965682,1.000000,1875,00:0c,110.000000,600.000000,0.140911,0.107311,0.033600,7,7,7,29,27
12,34.993494,136.965682,1.000000,1876,00:0d,120.000000,600.000000,0.098949,0.068349,0.030600,4,4,4,32,19
13,34.992894,136.965682,1.000000,1877,00:0e,130.000000,600.000000,0.107840,0.074240,0.033600,4,4,4,36,20
14,34.991676,136.967828,1.000000,1878,00:0f,140.000000,600.000000,0.138090,0.104490,0.033600,7,7,7,30,26
15,34.991976,136.967828,1.000000,1879,00:10,150.000000,600.000000,0.127071,0.091671,0.035400,5,5,5,36,23
