id,pos_x,pos_y,pos_z,lora_network_addr,ble_network_addr,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption,cnt_leader,lora_send,lora_receive,ble_send,ble_receive
32,34.997,136.968,1,1896,00:21,320.000000,600.000000,0.090920,0.066320,0.024600,4,4,4,21,20
31,34.997558,136.968301,1.000000,1895,00:20,310.000000,600.000000,0.096953,0.068753,0.028200,5,5,5,27,20
30,34.997258,136.968301,1.000000,1894,00:1f,300.000000,600.000000,0.098123,0.071723,0.026400,5,5,5,23,21
29,34.995360,136.966875,1.000000,1893,00:1e,290.000000,600.000000,0.090771,0.066171,0.024600,4,4,4,21,20
28,34.995960,136.966875,1.000000,1892,00:1d,280.000000,600.000000,0.096804,0.068604,0.028200,5,5,5,27,20
27,34.995660,136.966875,1.000000,1891,00:1c,270.000000,600.000000,0.097974,0.071574,0.026400,5,5,5,23,21
26,34.990529,136.968657,1.000000,1890,00:1b,260.000000,600.000000,0.100798,0.100798,0.000000,0,12,12,0,0
25,34.993019,136.970236,1.000000,1889,00:1a,250.000000,600.000000,0.090573,0.065973,0.024600,4,4,4,21,20
24,34.993619,136.970236,1.000000,1888,00:19,240.000000,600.000000,0.096606,0.068406,0.028200,5,5,5,27,20
23,34.993319,136.970236,1.000000,1887,00:18,230.000000,600.000000,0.097776,0.071376,0.026400,5,5,5,23,21
22,34.992696,136.966654,1.000000,1886,00:17,220.000000,600.000000,0.090425,0.065825,0.024600,4,4,4,21,20
21,34.993296,136.966654,1.000000,1885,00:16,210.000000,600.000000,0.097628,0.071228,0.026400,5,5,5,23,21
20,34.992996,136.966654,1.000000,1884,00:15,200.000000,600.000000,0.096458,0.068258,0.028200,5,5,5,27,20
19,34.990931,136.966164,1.000000,1883,00:14,190.000000,600.000000,0.090276,0.065676,0.024600,4,4,4,21,20
18,34.991531,136.966164,1.000000,1882,00:13,180.000000,600.000000,0.096309,0.068109,0.028200,5,5,5,27,20
17,34.991231,136.966164,1.000000,1881,00:12,170.000000,600.000000,0.097479,0.071079,0.026400,5,5,5,23,21
16,34.991376,136.967828,1.000000,1880,00:11,160.000000,600.000000,0.090128,0.065528,0.024600,4,4,4,21,20
5,34.997334,136.967603,1.000000,1869,00:06,50.000000,600.000000,0.089583,0.064983,0.024600,4,4,4,21,20
4,34.997934,136.967603,1.000000,1868,00:05,40.000000,600.000000,0.095616,0.067416,0.028200,5,5,5,27,20
3,34.997634,136.967603,1.000000,1867,00:04,30.000000,600.000000,0.096786,0.070386,0.026400,5,5,5,23,21
2,34.994444,136.971769,1.000000,1866,00:03,20.000000,600.000000,0.089435,0.064835,0.024600,4,4,4,21,20
0,34.994744,136.971769,1.000000,1864,00:01,0.000000,600.000000,0.096638,0.070238,0.026400,5,5,5,23,21
1,34.995044,136.971769,1.000000,1865,00:02,10.000000,600.000000,0.095468,0.067268,0.028200,5,5,5,27,20
6,34.994912,136.967521,1.000000,1870,00:07,60.000000,600.000000,0.096905,0.073505,0.023400,5,5,5,19,20
7,34.995212,136.967521,1.000000,1871,00:08,70.000000,600.000000,0.096365,0.067565,0.028800,5,5,5,27,21
8,34.994612,136.967521,1.000000,1872,00:09,80.000000,600.000000,0.071850,0.047850,0.024000,3,3,3,24,16
9,34.994942,136.966953,1.000000,1873,00:0a,90.000000,600.000000,0.099956,0.099956,0.000000,0,12,12,0,0
10,34.994315,136.965640,1.000000,1874,00:0b,100.000000,600.000000,0.100006,0.100006,0.000000,0,12,12,0,0
11,34.993194,136.965682,1.000000,1875,00:0c,110.000000,600.000000,0.094798,0.067798,0.027000,5,5,5,24,21
12,34.993494,136.965682,1.000000,1876,00:0d,120.000000,600.000000,0.101903,0.073703,0.028200,5,5,5,25,22
13,34.992894,136.965682,1.000000,1877,00:0e,130.000000,600.000000,0.081588,0.053988,0.027600,5,5,3,23,23
14,34.991676,136.967828,1.000000,1878,00:0f,140.000000,600.000000,0.097331,0.070931,0.026400,5,5,5,23,21
15,34.991976,136.967828,1.000000,1879,00:10,150.000000,600.000000,0.096161,0.067961,0.028200,5,5,5,27,20
