id,pos_x,pos_y,pos_z,lora_network_addr,ble_network_addr,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption,cnt_leader,lora_send,lora_receive,ble_send,ble_receive
32,34.997,136.968,1,1896,00:21,320.000000,600.000000,0.261037,0.173437,0.087600,15,15,13,83,63
31,34.997558,136.968301,1.000000,1895,00:20,310.000000,600.000000,0.249592,0.165592,0.084000,12,12,12,83,57
30,34.997258,136.968301,1.000000,1894,00:1f,300.000000,600.000000,0.259867,0.170467,0.089400,15,15,13,85,64
29,34.995360,136.966875,1.000000,1893,00:1e,290.000000,600.000000,0.247043,0.165443,0.081600,13,13,12,75,61
28,34.995960,136.966875,1.000000,1892,00:1d,280.000000,600.000000,0.256768,0.170368,0.086400,13,13,13,86,58
27,34.995660,136.966875,1.000000,1891,00:1c,270.000000,600.000000,0.257888,0.173288,0.084600,13,13,13,79,62
26,34.990529,136.968657,1.000000,1890,00:1b,260.000000,600.000000,0.202784,0.202784,0.000000,0,24,24,0,0
25,34.993019,136.970236,1.000000,1889,00:1a,250.000000,600.000000,0.238932,0.154332,0.084600,13,13,11,82,59
24,34.993619,136.970236,1.000000,1888,00:19,240.000000,600.000000,0.253445,0.165245,0.088200,14,14,12,85,62
23,34.993319,136.970236,1.000000,1887,00:18,230.000000,600.000000,0.254690,0.173090,0.081600,13,13,13,78,58
22,34.992696,136.966654,1.000000,1886,00:17,220.000000,600.000000,0.223689,0.146289,0.077400,11,11,9,79,50
21,34.993296,136.966654,1.000000,1885,00:16,210.000000,600.000000,0.226213,0.151213,0.075000,11,11,11,73,52
20,34.992996,136.966654,1.000000,1884,00:15,200.000000,600.000000,0.246047,0.165047,0.081000,13,13,12,76,59
19,34.990931,136.966164,1.000000,1883,00:14,190.000000,600.000000,0.238654,0.157054,0.081600,12,12,11,78,58
18,34.991531,136.966164,1.000000,1882,00:13,180.000000,600.000000,0.257423,0.169823,0.087600,13,13,13,85,61
17,34.991231,136.966164,1.000000,1881,00:12,170.000000,600.000000,0.245899,0.164899,0.081000,13,13,12,75,60
16,34.991376,136.967828,1.000000,1880,00:11,160.000000,600.000000,0.247551,0.164751,0.082800,13,13,11,78,60
5,34.997334,136.967603,1.000000,1869,00:06,50.000000,600.000000,0.239692,0.153292,0.086400,13,13,10,82,62
4,34.997934,136.967603,1.000000,1868,00:05,40.000000,600.000000,0.266394,0.179994,0.086400,15,15,14,81,63
3,34.997634,136.967603,1.000000,1867,00:04,30.000000,600.000000,0.247036,0.161236,0.085800,13,13,12,80,63
2,34.994444,136.971769,1.000000,1866,00:03,20.000000,600.000000,0.251831,0.169031,0.082800,13,13,13,79,59
0,34.994744,136.971769,1.000000,1864,00:01,0.000000,600.000000,0.260201,0.172001,0.088200,15,15,12,80,67
1,34.995044,136.971769,1.000000,1865,00:02,10.000000,600.000000,0.252461,0.166061,0.086400,13,13,13,85,59
6,34.994912,136.967521,1.000000,1870,00:07,60.000000,600.000000,0.229770,0.150570,0.079200,11,11,11,77,55
7,34.995212,136.967521,1.000000,1871,00:08,70.000000,600.000000,0.255728,0.169328,0.086400,13,13,13,84,60
8,34.994612,136.967521,1.000000,1872,00:09,80.000000,600.000000,0.251498,0.172298,0.079200,13,13,13,74,58
9,34.994942,136.966953,1.000000,1873,00:0a,90.000000,600.000000,0.201942,0.201942,0.000000,0,24,24,0,0
10,34.994315,136.965640,1.000000,1874,00:0b,100.000000,600.000000,0.201992,0.201992,0.000000,0,24,24,0,0
11,34.993194,136.965682,1.000000,1875,00:0c,110.000000,600.000000,0.276390,0.180390,0.096000,17,17,14,86,74
12,34.993494,136.965682,1.000000,1876,00:0d,120.000000,600.000000,0.268070,0.177470,0.090600,15,15,12,84,67
13,34.992894,136.965682,1.000000,1877,00:0e,130.000000,600.000000,0.273946,0.172546,0.101400,18,18,13,91,78
14,34.991676,136.967828,1.000000,1878,00:0f,140.000000,600.000000,0.246980,0.161780,0.085200,13,13,11,79,63
15,34.991976,136.967828,1.000000,1879,00:10,150.000000,600.000000,0.271188,0.180588,0.090600,14,14,13,90,61
