id,pos_x,pos_y,pos_z,lora_network_addr,ble_network_addr,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption,cnt_leader,lora_send,lora_receive,ble_send,ble_receive
32,34.997,136.968,1,1896,00:21,320.000000,600.000000,0.159901,0.108301,0.051600,8,8,7,48,38
31,34.997558,136.968301,1.000000,1895,00:20,310.000000,600.000000,0.179289,0.124089,0.055200,9,9,9,52,40
30,34.997258,136.968301,1.000000,1894,00:1f,300.000000,600.000000,0.171520,0.121120,0.050400,9,9,9,46,38
29,34.995360,136.966875,1.000000,1893,00:1e,290.000000,600.000000,0.149013,0.102213,0.046800,7,7,7,45,33
28,34.995960,136.966875,1.000000,1892,00:1d,280.000000,600.000000,0.175571,0.120971,0.054600,9,9,9,52,39
27,34.995660,136.966875,1.000000,1891,00:1c,270.000000,600.000000,0.173741,0.123941,0.049800,9,9,9,44,39
26,34.990529,136.968657,1.000000,1890,00:1b,260.000000,600.000000,0.151791,0.151791,0.000000,0,18,18,0,0
25,34.993019,136.970236,1.000000,1889,00:1a,250.000000,600.000000,0.158955,0.107955,0.051000,8,8,7,47,38
24,34.993619,136.970236,1.000000,1888,00:19,240.000000,600.000000,0.178343,0.123743,0.054600,9,9,9,52,39
23,34.993319,136.970236,1.000000,1887,00:18,230.000000,600.000000,0.171173,0.120773,0.050400,9,9,9,46,38
22,34.992696,136.966654,1.000000,1886,00:17,220.000000,600.000000,0.143693,0.096893,0.046800,7,7,6,46,32
21,34.993296,136.966654,1.000000,1885,00:16,210.000000,600.000000,0.148066,0.101866,0.046200,7,7,7,44,33
20,34.992996,136.966654,1.000000,1884,00:15,200.000000,600.000000,0.175145,0.123545,0.051600,9,9,9,45,41
19,34.990931,136.966164,1.000000,1883,00:14,190.000000,600.000000,0.156258,0.107658,0.048600,8,8,7,45,36
18,34.991531,136.966164,1.000000,1882,00:13,180.000000,600.000000,0.176227,0.120427,0.055800,9,9,9,52,41
17,34.991231,136.966164,1.000000,1881,00:12,170.000000,600.000000,0.171997,0.123397,0.048600,9,9,9,44,37
16,34.991376,136.967828,1.000000,1880,00:11,160.000000,600.000000,0.155509,0.107509,0.048000,8,8,7,45,35
5,34.997334,136.967603,1.000000,1869,00:06,50.000000,600.000000,0.154965,0.106965,0.048000,8,8,7,44,36
4,34.997934,136.967603,1.000000,1868,00:05,40.000000,600.000000,0.175504,0.122704,0.052800,9,9,9,50,38
3,34.997634,136.967603,1.000000,1867,00:04,30.000000,600.000000,0.171334,0.119734,0.051600,9,9,9,46,40
2,34.994444,136.971769,1.000000,1866,00:03,20.000000,600.000000,0.163310,0.114710,0.048600,8,8,8,43,38
0,34.994744,136.971769,1.000000,1864,00:01,0.000000,600.000000,0.164461,0.114661,0.049800,9,9,8,45,38
1,34.995044,136.971769,1.000000,1865,00:02,10.000000,600.000000,0.174235,0.119635,0.054600,9,9,9,53,38
6,34.994912,136.967521,1.000000,1870,00:07,60.000000,600.000000,0.173902,0.122902,0.051000,9,9,9,43,42
7,34.995212,136.967521,1.000000,1871,00:08,70.000000,600.000000,0.175003,0.122803,0.052200,9,9,9,50,37
8,34.994612,136.967521,1.000000,1872,00:09,80.000000,600.000000,0.149773,0.101173,0.048600,7,7,7,47,34
9,34.994942,136.966953,1.000000,1873,00:0a,90.000000,600.000000,0.150949,0.150949,0.000000,0,18,18,0,0
10,34.994315,136.965640,1.000000,1874,00:0b,100.000000,600.000000,0.150999,0.150999,0.000000,0,18,18,0,0
11,34.993194,136.965682,1.000000,1875,00:0c,110.000000,600.000000,0.156541,0.104341,0.052200,9,9,7,50,37
12,34.993494,136.965682,1.000000,1876,00:0d,120.000000,600.000000,0.165606,0.115206,0.050400,8,8,7,47,37
13,34.992894,136.965682,1.000000,1877,00:0e,130.000000,600.000000,0.180700,0.123100,0.057600,11,11,9,49,47
14,34.991676,136.967828,1.000000,1878,00:0f,140.000000,600.000000,0.173048,0.123248,0.049800,9,9,9,44,39
15,34.991976,136.967828,1.000000,1879,00:10,150.000000,600.000000,0.175478,0.120278,0.055200,9,9,9,53,39
