32,1896,1894
32,1896,1895
31,1895,1894
31,1895,1896
30,1894,1895
30,1894,1896
29,1893,1891
29,1893,1892
28,1892,1891
28,1892,1893
27,1891,1892
27,1891,1893
25,1889,1887
25,1889,1888
24,1888,1887
24,1888,1889
23,1887,1888
23,1887,1889
22,1886,1884
22,1886,1885
21,1885,1884
21,1885,1886
20,1884,1885
20,1884,1886
19,1883,1881
19,1883,1882
18,1882,1881
18,1882,1883
17,1881,1882
17,1881,1883
16,1880,1878
16,1880,1879
5,1869,1867
5,1869,1868
4,1868,1867
4,1868,1869
3,1867,1868
3,1867,1869
2,1866,1864
2,1866,1865
0,1864,1865
0,1864,1866
1,1865,1864
1,1865,1866
6,1870,1871
6,1870,1872
7,1871,1870
7,1871,1872
8,1872,1870
8,1872,1871
11,1875,1876
11,1875,1877
12,1876,1875
12,1876,1877
13,1877,1875
13,1877,1876
14,1878,1879
14,1878,1880
15,1879,1878
15,1879,1880
