id,pos_x,pos_y,pos_z,lora_network_addr,ble_network_addr,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption,cnt_leader,lora_send,lora_receive,ble_send,ble_receive
32,34.997,136.968,1,1896,00:21,320.000000,600.000000,0.191105,0.130505,0.060600,5,5,5,58,43
31,34.997558,136.968301,1.000000,1895,00:20,310.000000,600.000000,0.199040,0.124040,0.075000,10,10,8,67,58
30,34.997258,136.968301,1.000000,1894,00:1f,300.000000,600.000000,0.174252,0.108252,0.066000,7,7,6,61,49
29,34.995360,136.966875,1.000000,1893,00:1e,290.000000,600.000000,0.191597,0.115997,0.075600,8,8,8,63,63
28,34.995960,136.966875,1.000000,1892,00:1d,280.000000,600.000000,0.205635,0.131835,0.073800,10,10,9,70,53
27,34.995660,136.966875,1.000000,1891,00:1c,270.000000,600.000000,0.186277,0.113077,0.073200,8,8,7,71,51
26,34.990529,136.968657,1.000000,1890,00:1b,260.000000,600.000000,0.151791,0.151791,0.000000,0,18,18,0,0
25,34.993019,136.970236,1.000000,1889,00:1a,250.000000,600.000000,0.161241,0.097041,0.064200,6,6,6,62,45
24,34.993619,136.970236,1.000000,1888,00:19,240.000000,600.000000,0.173305,0.107905,0.065400,7,7,7,58,51
23,34.993319,136.970236,1.000000,1887,00:18,230.000000,600.000000,0.170955,0.107955,0.063000,7,7,7,66,39
22,34.992696,136.966654,1.000000,1886,00:17,220.000000,600.000000,0.177307,0.107707,0.069600,7,7,7,68,48
21,34.993296,136.966654,1.000000,1885,00:16,210.000000,600.000000,0.171387,0.104787,0.066600,7,7,7,67,44
20,34.992996,136.966654,1.000000,1884,00:15,200.000000,600.000000,0.174357,0.107757,0.066600,7,7,7,61,50
19,34.990931,136.966164,1.000000,1883,00:14,190.000000,600.000000,0.157964,0.099764,0.058200,6,6,6,55,42
18,34.991531,136.966164,1.000000,1882,00:13,180.000000,600.000000,0.189997,0.123397,0.066600,9,9,9,60,51
17,34.991231,136.966164,1.000000,1881,00:12,170.000000,600.000000,0.172439,0.104639,0.067800,7,7,7,69,44
16,34.991376,136.967828,1.000000,1880,00:11,160.000000,600.000000,0.153566,0.099566,0.054000,6,6,6,49,41
5,34.997334,136.967603,1.000000,1869,00:06,50.000000,600.000000,0.175915,0.106915,0.069000,7,7,6,64,51
4,34.997934,136.967603,1.000000,1868,00:05,40.000000,600.000000,0.177115,0.106915,0.070200,7,7,7,65,52
3,34.997634,136.967603,1.000000,1867,00:04,30.000000,600.000000,0.167545,0.103945,0.063600,7,7,7,59,47
2,34.994444,136.971769,1.000000,1866,00:03,20.000000,600.000000,0.217400,0.130400,0.087000,10,10,8,84,61
0,34.994744,136.971769,1.000000,1864,00:01,0.000000,600.000000,0.216249,0.130449,0.085800,10,10,9,76,67
1,34.995044,136.971769,1.000000,1865,00:02,10.000000,600.000000,0.207755,0.122555,0.085200,9,9,7,78,64
6,34.994912,136.967521,1.000000,1870,00:07,60.000000,600.000000,0.170664,0.107064,0.063600,7,7,7,56,50
7,34.995212,136.967521,1.000000,1871,00:08,70.000000,600.000000,0.170713,0.107113,0.063600,7,7,7,65,41
8,34.994612,136.967521,1.000000,1872,00:09,80.000000,600.000000,0.139936,0.085336,0.054600,5,5,5,52,39
9,34.994942,136.966953,1.000000,1873,00:0a,90.000000,600.000000,0.150949,0.150949,0.000000,0,18,18,0,0
10,34.994315,136.965640,1.000000,1874,00:0b,100.000000,600.000000,0.150999,0.150999,0.000000,0,18,18,0,0
11,34.993194,136.965682,1.000000,1875,00:0c,110.000000,600.000000,0.212002,0.145402,0.066600,7,7,7,63,48
12,34.993494,136.965682,1.000000,1876,00:0d,120.000000,600.000000,0.188405,0.115205,0.073200,8,8,8,64,58
13,34.992894,136.965682,1.000000,1877,00:0e,130.000000,600.000000,0.174561,0.107361,0.067200,7,7,7,65,47
14,34.991676,136.967828,1.000000,1878,00:0f,140.000000,600.000000,0.167490,0.104490,0.063000,7,7,7,64,41
15,34.991976,136.967828,1.000000,1879,00:10,150.000000,600.000000,0.161966,0.099566,0.062400,6,6,6,55,49
