id,pos_x,pos_y,pos_z,lora_network_addr,ble_network_addr,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption,cnt_leader,lora_send,lora_receive,ble_send,ble_receive
32,34.997,136.968,1,1896,00:21,320.000000,600.000000,0.089098,0.057898,0.031200,3,3,3,26,26
31,34.997558,136.968301,1.000000,1895,00:20,310.000000,600.000000,0.089700,0.063300,0.026400,4,4,4,26,18
30,34.997258,136.968301,1.000000,1894,00:1f,300.000000,600.000000,0.080759,0.051959,0.028800,3,3,3,28,20
29,34.995360,136.966875,1.000000,1893,00:1e,290.000000,600.000000,0.087750,0.057750,0.030000,3,3,3,26,24
28,34.995960,136.966875,1.000000,1892,00:1d,280.000000,600.000000,0.106295,0.074495,0.031800,5,5,5,31,22
27,34.995660,136.966875,1.000000,1891,00:1c,270.000000,600.000000,0.094952,0.063152,0.031800,4,4,4,28,25
26,34.990529,136.968657,1.000000,1890,00:1b,260.000000,600.000000,0.100798,0.100798,0.000000,0,12,12,0,0
25,34.993019,136.970236,1.000000,1889,00:1a,250.000000,600.000000,0.085752,0.057552,0.028200,3,3,3,26,21
24,34.993619,136.970236,1.000000,1888,00:19,240.000000,600.000000,0.098924,0.065924,0.033000,4,4,4,30,25
23,34.993319,136.970236,1.000000,1887,00:18,230.000000,600.000000,0.091154,0.062954,0.028200,4,4,4,27,20
22,34.992696,136.966654,1.000000,1886,00:17,220.000000,600.000000,0.099975,0.065775,0.034200,4,4,4,31,26
21,34.993296,136.966654,1.000000,1885,00:16,210.000000,600.000000,0.094035,0.059835,0.034200,4,4,4,33,24
20,34.992996,136.966654,1.000000,1884,00:15,200.000000,600.000000,0.094605,0.062805,0.031800,4,4,4,31,22
19,34.990931,136.966164,1.000000,1883,00:14,190.000000,600.000000,0.064481,0.037481,0.027000,2,2,2,25,20
18,34.991531,136.966164,1.000000,1882,00:13,180.000000,600.000000,0.102800,0.074000,0.028800,5,5,5,27,21
17,34.991231,136.966164,1.000000,1881,00:12,170.000000,600.000000,0.093257,0.062657,0.030600,4,4,4,28,23
16,34.991376,136.967828,1.000000,1880,00:11,160.000000,600.000000,0.082337,0.054137,0.028200,3,3,3,25,22
5,34.997334,136.967603,1.000000,1869,00:06,50.000000,600.000000,0.087762,0.056562,0.031200,3,3,3,26,26
4,34.997934,136.967603,1.000000,1868,00:05,40.000000,600.000000,0.096734,0.064934,0.031800,4,4,4,30,23
3,34.997634,136.967603,1.000000,1867,00:04,30.000000,600.000000,0.090164,0.061964,0.028200,4,4,4,27,20
2,34.994444,136.971769,1.000000,1866,00:03,20.000000,600.000000,0.110430,0.072630,0.037800,5,5,4,30,33
0,34.994744,136.971769,1.000000,1864,00:01,0.000000,600.000000,0.110358,0.073158,0.037200,5,5,5,33,29
1,34.995044,136.971769,1.000000,1865,00:02,10.000000,600.000000,0.108709,0.069709,0.039000,5,5,4,37,28
6,34.994912,136.967521,1.000000,1870,00:07,60.000000,600.000000,0.089712,0.062112,0.027600,4,4,4,26,20
7,34.995212,136.967521,1.000000,1871,00:08,70.000000,600.000000,0.079571,0.050771,0.028800,3,3,3,28,20
8,34.994612,136.967521,1.000000,1872,00:09,80.000000,600.000000,0.083711,0.056711,0.027000,3,3,3,25,20
9,34.994942,136.966953,1.000000,1873,00:0a,90.000000,600.000000,0.099956,0.099956,0.000000,0,12,12,0,0
10,34.994315,136.965640,1.000000,1874,00:0b,100.000000,600.000000,0.100006,0.100006,0.000000,0,12,12,0,0
11,34.993194,136.965682,1.000000,1875,00:0c,110.000000,600.000000,0.135752,0.106352,0.029400,4,4,4,28,21
12,34.993494,136.965682,1.000000,1876,00:0d,120.000000,600.000000,0.094160,0.062360,0.031800,4,4,4,31,22
13,34.992894,136.965682,1.000000,1877,00:0e,130.000000,600.000000,0.100730,0.065330,0.035400,4,4,4,28,31
14,34.991676,136.967828,1.000000,1878,00:0f,140.000000,600.000000,0.088938,0.059538,0.029400,4,4,4,29,20
15,34.991976,136.967828,1.000000,1879,00:10,150.000000,600.000000,0.087707,0.057107,0.030600,3,3,3,26,25
